area,type_of_road,longitude,latitude,trafficlight,date,time,load_index
Lenina_(ZAGZ),bad,127.526548,50.258662,0,29.05.23,07:00,0.0
Lenina_(ZAGZ),bad,127.525119,50.258824,0,29.05.23,07:00,0.0
Lenina_(ZAGZ),Zeyskaya,127.527722,50.259431,0,29.05.23,07:00,0.25
Lenina_(ZAGZ),Zeyskaya,127.528148,50.261118,1,29.05.23,07:00,0.25
Lenina_(ZAGZ),Zeyskaya,127.52657,50.261402,0,29.05.23,07:00,0.25
Lenina_(ZAGZ),Zeyskaya,127.524522,50.260349,0,29.05.23,07:00,0.0
Lenina_(ZAGZ),Krasnoflotskaya,127.527103,50.257946,0,29.05.23,07:00,0.0
Lenina_(ZAGZ),Krasnoflotskaya,127.525311,50.256596,0,29.05.23,07:00,0.0
Lenina_(ZAGZ),Krasnoflotskaya,127.523989,50.25777,0,29.05.23,07:00,0.0
Lenina_(OKC),bad,127.540563,50.257055,0,29.05.23,07:00,0.25
Lenina_(OKC),bad,127.541928,50.25692,0,29.05.23,07:00,0.25
Lenina_(OKC),bad,127.54308,50.256812,1,29.05.23,07:00,0.25
Lenina_(OKC),bad,127.54421,50.25669,0,29.05.23,07:00,0.25
Lenina_(OKC),bad,127.545831,50.256541,0,29.05.23,07:00,0.25
Lenina_(OKC),bad,127.546407,50.256487,1,29.05.23,07:00,0.25
Lenina_(OKC),bad,127.547729,50.256352,0,29.05.23,07:00,0.25
Lenina_(OKC),bad,127.549457,50.256177,0,29.05.23,07:00,0.5
Lenina_(OKC),Zeyskaya,127.549841,50.256663,0,29.05.23,07:00,0.25
Lenina_(OKC),Zeyskaya,127.550118,50.257797,0,29.05.23,07:00,0.25
Lenina_(OKC),Zeyskaya,127.549926,50.258862,0,29.05.23,07:00,0.25
Lenina_(OKC),Zeyskaya,127.548668,50.258997,0,29.05.23,07:00,0.25
Lenina_(OKC),Zeyskaya,127.546919,50.259172,1,29.05.23,07:00,0.25
Lenina_(OKC),Zeyskaya,127.545981,50.25928,0,29.05.23,07:00,0.25
Lenina_(OKC),Zeyskaya,127.542484,50.259631,0,29.05.23,07:00,0.25
Lenina_(OKC),Zeyskaya,127.541034,50.259766,1,29.05.23,07:00,0.25
Lenina_(OKC),Zeyskaya,127.540863,50.259658,1,29.05.23,07:00,0.0
Lenina_(OKC),Zeyskaya,127.540607,50.258673,0,29.05.23,07:00,0.0
Lenina_(OKC),Zeyskaya,127.540458,50.258106,0,29.05.23,07:00,0.0
Lenina_(OKC),Amurskaya,127.541183,50.260846,0,29.05.23,07:00,0.0
Lenina_(OKC),Amurskaya,127.541417,50.261913,0,29.05.23,07:00,0.0
Lenina_(OKC),Amurskaya,127.542377,50.262386,0,29.05.23,07:00,0.0
Lenina_(OKC),Amurskaya,127.543977,50.262237,0,29.05.23,07:00,0.0
Lenina_(OKC),Amurskaya,127.545129,50.262116,0,29.05.23,07:00,0.0
Lenina_(OKC),Amurskaya,127.546729,50.261954,0,29.05.23,07:00,0.0
Lenina_(OKC),Amurskaya,127.548201,50.261819,0,29.05.23,07:00,0.0
Lenina_(OKC),Amurskaya,127.549353,50.261711,0,29.05.23,07:00,0.0
Lenina_(OKC),Amurskaya,127.55059,50.261576,0,29.05.23,07:00,0.0
Lenina_(OKC),Amurskaya,127.550953,50.261063,0,29.05.23,07:00,0.25
Lenina_(OKC),Amurskaya,127.550825,50.260618,0,29.05.23,07:00,0.25
Lenina_(OKC),Amurskaya,127.550399,50.258985,1,29.05.23,07:00,0.5
Oktyabrskaya_(50-Ostrovskays),bad,127.537598,50.270826,0,29.05.23,07:00,0.25
Oktyabrskaya_(50-Ostrovskays),bad,127.538878,50.270691,0,29.05.23,07:00,0.25
Oktyabrskaya_(50-Ostrovskays),Krasnoarmeskaya,127.53875,50.268019,0,29.05.23,07:00,0.25
Oktyabrskaya_(50-Ostrovskays),Krasnoarmeskaya,127.536873,50.268222,0,29.05.23,07:00,0.25
Oktyabrskaya_(50-Ostrovskays),Gorkogo,127.53619,50.265779,0,29.05.23,07:00,0.25
Oktyabrskaya_(50-Ostrovskays),Gorkogo,127.538088,50.265604,0,29.05.23,07:00,0.25
Oktyabrskaya_(50-Ostrovskays),Severnaya,127.538045,50.272962,0,29.05.23,07:00,0.0
Oktyabrskaya_(50-Ostrovskays),Severnaya,127.53973,50.272827,0,29.05.23,07:00,0.0
Oktyabrskaya_(50-Ostrovskays),Lomonosova,127.535655,50.275756,0,29.05.23,07:00,0.0
Oktyabrskaya_(50-Ostrovskays),Lomonosova,127.536849,50.275661,0,29.05.23,07:00,0.0
Oktyabrskaya_(Kyznechnaya-Teatralnaya),bad,127.550396,50.26953,0,29.05.23,07:00,0.25
Oktyabrskaya_(Kyznechnaya-Teatralnaya),bad,127.552017,50.269368,0,29.05.23,07:00,0.25
Oktyabrskaya_(Kyznechnaya-Teatralnaya),Krasnoarmeskaya,127.550268,50.270462,0,29.05.23,07:00,0.25
Oktyabrskaya_(Kyznechnaya-Teatralnaya),Krasnoarmeskaya,127.550545,50.27165,0,29.05.23,07:00,0.25
Oktyabrskaya_(Kyznechnaya-Teatralnaya),Krasnoarmeskaya,127.551867,50.272056,0,29.05.23,07:00,0.0
Oktyabrskaya_(Kyznechnaya-Teatralnaya),Krasnoarmeskaya,127.553125,50.271543,0,29.05.23,07:00,0.25
Oktyabrskaya_(Kyznechnaya-Teatralnaya),Krasnoarmeskaya,127.552933,50.270423,0,29.05.23,07:00,0.25
Oktyabrskaya_(Kyznechnaya-Teatralnaya),Gorkogo,127.549862,50.269208,0,29.05.23,07:00,0.25
Oktyabrskaya_(Kyznechnaya-Teatralnaya),Gorkogo,127.549713,50.268668,0,29.05.23,07:00,0.25
Oktyabrskaya_(Kyznechnaya-Teatralnaya),Gorkogo,127.54935,50.267277,0,29.05.23,07:00,0.25
Lenina_(ZAGZ),bad,127.526548,50.258662,0,29.05.23,08:00,0.25
Lenina_(ZAGZ),bad,127.525119,50.258824,0,29.05.23,08:00,0.25
Lenina_(ZAGZ),Zeyskaya,127.527722,50.259431,0,29.05.23,08:00,0.25
Lenina_(ZAGZ),Zeyskaya,127.528148,50.261118,0,29.05.23,08:00,0.25
Lenina_(ZAGZ),Zeyskaya,127.52657,50.261402,0,29.05.23,08:00,0.25
Lenina_(ZAGZ),Zeyskaya,127.524522,50.260349,0,29.05.23,08:00,0.0
Lenina_(ZAGZ),Krasnoflotskaya,127.527103,50.257946,0,29.05.23,08:00,0.0
Lenina_(ZAGZ),Krasnoflotskaya,127.525311,50.256596,0,29.05.23,08:00,0.0
Lenina_(ZAGZ),Krasnoflotskaya,127.523989,50.25777,0,29.05.23,08:00,0.0
Lenina_(OKC),bad,127.540563,50.257055,0,29.05.23,08:00,0.25
Lenina_(OKC),bad,127.541928,50.25692,0,29.05.23,08:00,0.25
Lenina_(OKC),bad,127.54308,50.256812,0,29.05.23,08:00,0.5
Lenina_(OKC),bad,127.54421,50.25669,0,29.05.23,08:00,0.25
Lenina_(OKC),bad,127.545831,50.256541,0,29.05.23,08:00,0.25
Lenina_(OKC),bad,127.546407,50.256487,0,29.05.23,08:00,0.5
Lenina_(OKC),bad,127.547729,50.256352,0,29.05.23,08:00,0.25
Lenina_(OKC),bad,127.549457,50.256177,0,29.05.23,08:00,0.25
Lenina_(OKC),Zeyskaya,127.549841,50.256663,0,29.05.23,08:00,0.25
Lenina_(OKC),Zeyskaya,127.550118,50.257797,0,29.05.23,08:00,0.25
Lenina_(OKC),Zeyskaya,127.549926,50.258862,0,29.05.23,08:00,0.25
Lenina_(OKC),Zeyskaya,127.548668,50.258997,0,29.05.23,08:00,0.25
Lenina_(OKC),Zeyskaya,127.546919,50.259172,0,29.05.23,08:00,0.25
Lenina_(OKC),Zeyskaya,127.545981,50.25928,0,29.05.23,08:00,0.25
Lenina_(OKC),Zeyskaya,127.542484,50.259631,0,29.05.23,08:00,0.25
Lenina_(OKC),Zeyskaya,127.541034,50.259766,0,29.05.23,08:00,0.25
Lenina_(OKC),Zeyskaya,127.540863,50.259658,0,29.05.23,08:00,0.0
Lenina_(OKC),Zeyskaya,127.540607,50.258673,0,29.05.23,08:00,0.0
Lenina_(OKC),Zeyskaya,127.540458,50.258106,0,29.05.23,08:00,0.0
Lenina_(OKC),Amurskaya,127.541183,50.260846,0,29.05.23,08:00,0.25
Lenina_(OKC),Amurskaya,127.541417,50.261913,0,29.05.23,08:00,0.25
